uname='U+1F600', utitle='Ухмыляющееся лицо', ucode='😀'
uname='U+1F609', utitle='Подмигивающее лицо', ucode='😉'
uname='U+1F601', utitle='Ухмыляющееся лицо со смеющимися глазами', ucode='😁'
uname='U+1F606', utitle='Улыбающееся лицо с открытым ртом и плотно закрытыми глазами', ucode='😆'
uname='U+1F605', utitle='Улыбающееся лицо в холодном поту с открытым ртом', ucode='😅'
uname='U+1F602', utitle='Лицо со слезами радости', ucode='😂'
uname='U+1F923', utitle='Катается по полу от смеха', ucode='🤣'
uname='U+1F60A', utitle='Улыбающееся лицо со смеющимися глазами', ucode='😊'
uname='U+1F642', utitle='Слегка улыбающееся лицо', ucode='🙂'
uname='U+1F604', utitle='Улыбающееся лицо с открытым ртом и смеющимися глазами', ucode='😄'
uname='U+1F643', utitle='Лицо вверх ногами', ucode='🙃'
uname='U+1F607', utitle='Улыбающееся лицо с нимбом над головой', ucode='😇'
uname='U+1F603', utitle='Улыбающееся лицо с открытым ртом', ucode='😃'
uname='U+1F61A', utitle='Целующееся лицо с закрытыми глазами', ucode='😚'
uname='U+1F970', utitle='Улыбающееся лицо с улыбающимися глазами и тремя сердечками', ucode='🥰'
uname='U+1F619', utitle='Целующееся лицо со смеющимися глазами', ucode='😙'
uname='U+263A', utitle='Незакрашенное улыбающееся лицо', ucode='☺'
uname='U+1F60D', utitle='Улыбающееся лицо с глазами-сердечками', ucode='😍'
uname='U+1F617', utitle='Целующееся лицо', ucode='😗'
uname='U+1F972', utitle='Улыбающееся лицо со слезой', ucode='🥲'
uname='U+1F618', utitle='Лицо, посылающее поцелуй', ucode='😘'
uname='U+1F929', utitle='Ухмыляющееся лицо с глазами звёздами', ucode='🤩'
uname='U+1F60B', utitle='Лицо, смакующее деликатес', ucode='😋'
uname='U+1F61B', utitle='Лицо с высунутым языком', ucode='😛'
uname='U+1F61C', utitle='Лицо с высунутым языком и подмигивающим глазом', ucode='😜'
uname='U+1F92A', utitle='Ухмыляющееся лицо с одним большим и одним маленьким глазом', ucode='🤪'
uname='U+1F61D', utitle='Лицо с высунутым языком и крепко закрытыми глазами', ucode='😝'
uname='U+1F911', utitle='Лицо со знаком доллара', ucode='🤑'
uname='U+1F914', utitle='Задумчивое лицо', ucode='🤔'
uname='U+1F92D', utitle='Улыбающееся лицо с улыбающимися глазами прикрывающее рот рукой', ucode='🤭'
uname='U+1F917', utitle='Обнимашки', ucode='🤗'
uname='U+1F92B', utitle='Лицо с указательным пальцем у губ', ucode='🤫'
uname='U+1F610', utitle='Нейтральное выражение лица', ucode='😐'
uname='U+1F636', utitle='Лицо без рта', ucode='😶'
uname='U+1F928', utitle='Лицо с поднятой одной бровью', ucode='🤨'
uname='U+1F62C', utitle='Гримаса на лице', ucode='😬'
uname='U+1F60F', utitle='Усмехающееся лицо', ucode='😏'
uname='U+1F611', utitle='Ничего не выражающее лицо', ucode='😑'
uname='U+1F612', utitle='Лицо с выражением неодобрения', ucode='😒'
uname='U+1F644', utitle='Лицо с вращающимися глазами', ucode='🙄'
uname='U+1F910', utitle='Лицо со ртом на молнии', ucode='🤐'
uname='U+1F925', utitle='Лгущее лицо', ucode='🤥'
uname='U+1F60C', utitle='Расслабленной лицо', ucode='😌'
uname='U+1F614', utitle='Задумчивое лицо', ucode='😔'
uname='U+1F62A', utitle='Сонное лицо', ucode='😪'
uname='U+1F634', utitle='Спящее лицо', ucode='😴'
uname='U+1F924', utitle='Слюнки текут', ucode='🤤'
uname='U+1F976', utitle='Замерзающее лицо', ucode='🥶'
uname='U+1F927', utitle='Чихает', ucode='🤧'
uname='U+1F637', utitle='Лицо в медицинской маске', ucode='😷'
uname='U+1F92F', utitle='Шокированное лицо с взрывающейся головой', ucode='🤯'
uname='U+1F974', utitle='Лицо с неровными глазами и волнистым ртом', ucode='🥴'
uname='U+1F635', utitle='Головокружение', ucode='😵'
uname='U+1F912', utitle='Лицо с градусником во рту', ucode='🤒'
uname='U+1F975', utitle='Вспотевшее лицо', ucode='🥵'
uname='U+1F92E', utitle='Лицо с открытым ртом блюющее', ucode='🤮'
uname='U+1F915', utitle='Лицо с повязкой на голове', ucode='🤕'
uname='U+1F922', utitle='Тошнота', ucode='🤢'
uname='U+1F978', utitle='Замаскированное лицо', ucode='🥸'
uname='U+1F920', utitle='Лицо в ковбойской шляпе', ucode='🤠'
uname='U+1F973', utitle='Лицо с праздничным рожком и колпаком', ucode='🥳'
uname='U+1F913', utitle='Лицо ботаника', ucode='🤓'
uname='U+1F60E', utitle='Улыбающееся лицо в солнечных очках', ucode='😎'
uname='U+1F9D0', utitle='Лицо с моноклем', ucode='🧐'
uname='U+1F615', utitle='Смущённое лицо', ucode='😕'
uname='U+1F616', utitle='Выражение стыда', ucode='😖'
uname='U+1F627', utitle='Мучительное выражение лица', ucode='😧'
uname='U+1F97A', utitle='Лицо с умоляющими глазами', ucode='🥺'
uname='U+1F62B', utitle='Усталое лицо', ucode='😫'
uname='U+1F631', utitle='Лицо, кричащее от страха', ucode='😱'
uname='U+1F61E', utitle='Разочарованное лицо', ucode='😞'
uname='U+1F62F', utitle='Лицо, просящее тишины', ucode='😯'
uname='U+1F62E', utitle='Лицо с открытым ртом', ucode='😮'
uname='U+1F62D', utitle='Лицо громко плачет', ucode='😭'
uname='U+1F61F', utitle='Взволнованное лицо', ucode='😟'
uname='U+1F613', utitle='Лицо в холодном поту', ucode='😓'
uname='U+1F629', utitle='Утомлённое лицо', ucode='😩'
uname='U+1F622', utitle='Плачущее лицо', ucode='😢'
uname='U+1F632', utitle='Удивлённое лицо', ucode='😲'
uname='U+1F628', utitle='Лицо в страхе', ucode='😨'
uname='U+1F971', utitle='Зевающее лицо', ucode='🥱'
uname='U+1F633', utitle='Покрасневшее лицо', ucode='😳'
uname='U+1F641', utitle='Слегка нахмурившееся лицо', ucode='🙁'
uname='U+1F625', utitle='Лицо с выражением разочарования и облегчения', ucode='😥'
uname='U+1F623', utitle='Упорное выражение лица', ucode='😣'
uname='U+1F626', utitle='Нахмурившееся лицо с открытым ртом', ucode='😦'
uname='U+2639', utitle='Нахмуренное незакрашенное лицо', ucode='☹'
uname='U+1F630', utitle='Лицо с открытым ртом в холодном поту', ucode='😰'
uname='U+2620', utitle='Череп и кости', ucode='☠'
uname='U+1F624', utitle='Лицо с выражением триумфа', ucode='😤'
uname='U+1F608', utitle='Улыбающееся лицо с рогами', ucode='😈'
uname='U+1F621', utitle='Лицо, надувшее губы', ucode='😡'
uname='U+1F480', utitle='Череп', ucode='💀'
uname='U+1F47F', utitle='Чертёнок', ucode='👿'
uname='U+1F92C', utitle='Злое лицо со скрытым символами ртом', ucode='🤬'
uname='U+1F620', utitle='Злое лицо', ucode='😠'
uname='U+1F4A9', utitle='Куча дерьма', ucode='💩'
uname='U+1F921', utitle='Лицо клоуна', ucode='🤡'
uname='U+1F916', utitle='Лицо робота', ucode='🤖'
uname='U+1F47D', utitle='Инопланетянин', ucode='👽'
uname='U+1F47E', utitle='Инопланетянин-монстр', ucode='👾'
uname='U+1F47B', utitle='Призрак', ucode='👻'
uname='U+1F47A', utitle='Японский гоблин', ucode='👺'
uname='U+1F479', utitle='Японский огр', ucode='👹'
uname='U+1F640', utitle='Усталый кот', ucode='🙀'
uname='U+1F63D', utitle='Кот, целующийся с закрытыми глазами', ucode='😽'
uname='U+1F638', utitle='Ухмыляющийся кот со смеющимися глазами', ucode='😸'
uname='U+1F63F', utitle='Плачущий кот', ucode='😿'
uname='U+1F63E', utitle='Кот, надувший губы', ucode='😾'
uname='U+1F63B', utitle='Улыбающийся кот с глазами-сердечками', ucode='😻'
uname='U+1F63A', utitle='Улыбающийся кот с открытым ртом', ucode='😺'
uname='U+1F63C', utitle='Кот с кривой улыбкой', ucode='😼'
uname='U+1F639', utitle='Лицо кота со слезами радости', ucode='😹'
uname='U+1F649', utitle='Обезьяна не слышащая зла', ucode='🙉'
uname='U+1F64A', utitle='Обезьяна не говорящая о зле', ucode='🙊'
uname='U+1F648', utitle='Обезьяна не видящая зла', ucode='🙈'
uname='U+1F5EF', utitle='Гневный диалоговый пузырь справа', ucode='🗯'
uname='U+1F573', utitle='Дыра', ucode='🕳'
uname='U+1F5E8', utitle='Пузырь речи слева', ucode='🗨'
uname='U+1F9E1', utitle='Оранжевое сердце', ucode='🧡'
uname='U+1F49F', utitle='Декоративное сердце', ucode='💟'
uname='U+1F4AD', utitle='Выноска для мыслей (комиксы)', ucode='💭'
uname='U+1F90E', utitle='Коричневое сердце', ucode='🤎'
uname='U+1F49E', utitle='Вращающиеся сердца', ucode='💞'
uname='U+1F90D', utitle='Белое сердце', ucode='🤍'
uname='U+1F48C', utitle='Любовное письмо', ucode='💌'
uname='U+1F5A4', utitle='Черное сердце', ucode='🖤'
uname='U+1F4A2', utitle='Гнев', ucode='💢'
uname='U+1F493', utitle='Бьющееся сердце', ucode='💓'
uname='U+1F4AF', utitle='Сто очков', ucode='💯'
uname='U+1F495', utitle='Два сердца', ucode='💕'
uname='U+1F48B', utitle='Следы поцелуя', ucode='💋'
uname='U+1F4A8', utitle='Dash symbol', ucode='💨'
uname='U+1F4A6', utitle='Брызги пота', ucode='💦'
uname='U+1F4AB', utitle='Головокружение', ucode='💫'
uname='U+1F497', utitle='Растущее сердце', ucode='💗'
uname='U+1F494', utitle='Разбитое сердце', ucode='💔'
uname='U+1F498', utitle='Сердце, пронзённое стрелой', ucode='💘'
uname='U+1F49A', utitle='Зелёное сердце', ucode='💚'
uname='U+1F499', utitle='Голубое сердце', ucode='💙'
uname='U+1F49C', utitle='Пурпурное сердце', ucode='💜'
uname='U+1F49B', utitle='Жёлтое сердце', ucode='💛'
uname='U+1F4A5', utitle='Столкновение', ucode='💥'
uname='U+1F496', utitle='Игристое сердце', ucode='💖'
uname='U+1F4AC', utitle='Выноска для разговора (комиксы)', ucode='💬'
uname='U+1F4A3', utitle='Бомба', ucode='💣'
uname='U+1F4A4', utitle='Спать', ucode='💤'
uname='U+2764', utitle='Закрашенное жирное сердце', ucode='❤'
uname='U+2763', utitle='Жирный восклицательный знак в виде сердца', ucode='❣'
uname='U+1F49D', utitle='Сердце с бантиком', ucode='💝'
uname='U+1F91A', utitle='Тыльная сторона ладони', ucode='🤚'
uname='U+1F596', utitle='Поднятая ладонь с раздвинутыми средним и безымянным пальцами', ucode='🖖'
uname='U+1F44B', utitle='Открытая ладонь', ucode='👋'
uname='U+1F590', utitle='Ладонь с поднятыми пальцами', ucode='🖐'
uname='U+270B', utitle='Поднятая рука', ucode='✋'
